Year,Week,Type,Total Tables,Total Size (MB)
2024,01,5min,3,2506.3900000000003
2024,01,15min,3,395.80999999999995
2024,01,mgw,9,354.15
2024,01,Total,15,3256.3500000000004
2024,02,5min,3,2749.6099999999997
2024,02,15min,3,455.76
2024,02,mgw,9,391.33
2024,02,Total,15,3596.7
2024,03,5min,3,3421.94
2024,03,15min,3,551.4599999999999
2024,03,mgw,9,492.9200000000001
2024,03,Total,15,4466.32
2024,04,5min,3,3347.7099999999996
2024,04,15min,3,503.71
2024,04,mgw,9,490.49
2024,04,Total,15,4341.91
2024,05,5min,3,3373.05
2024,05,15min,3,534.15
2024,05,mgw,9,490.47
2024,05,Total,15,4397.67
2024,06,5min,3,2885.58
2024,06,15min,3,472.06000000000006
2024,06,mgw,9,495.46
2024,06,Total,15,3853.1
2024,07,5min,2,2235.74
2024,07,15min,2,387.02
2024,07,mgw,9,493.09000000000003
2024,07,Total,13,3115.85
2024,08,5min,2,2295.2200000000003
2024,08,15min,2,409.73
2024,08,mgw,9,491.34000000000003
2024,08,Total,13,3196.2900000000004
2024,09,5min,2,2473.71
2024,09,15min,2,397.22
2024,09,mgw,9,491.97
2024,09,Total,13,3362.9000000000005
2024,10,5min,2,2378.4300000000003
2024,10,15min,2,411.86
2024,10,mgw,9,491.7
2024,10,Total,13,3281.9900000000002
2024,11,5min,2,2411.2799999999997
2024,11,15min,2,421.32
2024,11,mgw,9,491.06
2024,11,Total,13,3323.66
2024,12,5min,2,2571.39
2024,12,15min,2,421.28999999999996
2024,12,mgw,9,491.63000000000005
2024,12,Total,13,3484.31
2024,13,5min,2,2585.0299999999997
2024,13,15min,2,424.35
2024,13,mgw,9,490.98
2024,13,Total,13,3500.3599999999997
2024,14,5min,2,2584.35
2024,14,15min,2,424.35
2024,14,mgw,9,492.07
2024,14,Total,13,3500.77
2024,15,5min,3,3808.2799999999997
2024,15,15min,3,618.64
2024,15,mgw,9,489.02
2024,15,Total,15,4915.9400000000005
2024,16,5min,3,3430.46
2024,16,15min,3,545.8
2024,16,mgw,9,489.77
2024,16,Total,15,4466.030000000001
2024,17,5min,3,3376.59
2024,17,15min,3,542.56
2024,17,mgw,9,486.08
2024,17,Total,15,4405.2300000000005
2024,18,5min,3,3597.05
2024,18,15min,3,589.5699999999999
2024,18,mgw,9,491.78
2024,18,Total,15,4678.4
2024,19,5min,3,3570.3900000000003
2024,19,15min,3,573.36
2024,19,mgw,9,487.79
2024,19,Total,15,4631.54
2024,20,5min,3,3528.6
2024,20,15min,3,601.36
2024,20,mgw,9,492.24
2024,20,Total,15,4622.2
2024,21,5min,3,3560.3999999999996
2024,21,15min,3,598.91
2024,21,mgw,9,495.55999999999995
2024,21,Total,15,4654.869999999999
2024,22,5min,3,3580.9300000000003
2024,22,15min,3,583.76
2024,22,mgw,9,491.08
2024,22,Total,15,4655.77
2024,23,5min,3,3567.95
2024,23,15min,3,611.73
2024,23,mgw,9,491.75000000000006
2024,23,Total,15,4671.43
2024,24,5min,3,3519.82
2024,24,15min,3,606.5600000000001
2024,24,mgw,9,494.11
2024,24,Total,15,4620.49
2024,25,5min,3,3621.0299999999997
2024,25,15min,3,576.23
2024,25,mgw,9,492.98
2024,25,Total,15,4690.24
2024,26,5min,3,3609.4900000000002
2024,26,15min,3,589.86
2024,26,mgw,9,493.3
2024,26,Total,15,4692.650000000001
2024,27,5min,3,3626.2
2024,27,15min,3,579.38
2024,27,mgw,9,491.39000000000004
2024,27,Total,15,4696.97
2024,28,5min,3,3671.25
2024,28,15min,3,543.0
2024,28,mgw,9,491.5299999999999
2024,28,Total,15,4705.78
2024,29,5min,3,3759.41
2024,29,15min,3,442.62
2024,29,mgw,9,490.28999999999996
2024,29,Total,15,4692.32
2024,30,5min,3,3737.0199999999995
2024,30,15min,3,455.98
2024,30,mgw,9,489.0
2024,30,Total,15,4682.0
2024,31,5min,3,3786.8100000000004
2024,31,15min,3,445.83000000000004
2024,31,mgw,9,489.12
2024,31,Total,15,4721.76
2024,32,5min,3,3788.71
2024,32,15min,3,439.47
2024,32,mgw,9,490.28999999999996
2024,32,Total,15,4718.47
2024,33,5min,3,3787.3199999999997
2024,33,15min,3,439.30999999999995
2024,33,mgw,9,487.59
2024,33,Total,15,4714.219999999999
2024,34,5min,3,3809.56
2024,34,15min,3,444.30999999999995
2024,34,mgw,9,488.33000000000004
2024,34,Total,15,4742.2
2024,35,5min,3,3795.75
2024,35,15min,3,441.93
2024,35,mgw,9,487.72999999999996
2024,35,Total,15,4725.41
2024,36,5min,3,3690.38
2024,36,15min,3,561.52
2024,36,mgw,9,486.53999999999996
2024,36,Total,15,4738.44
2024,37,5min,3,3535.62
2024,37,15min,3,475.6
2024,37,mgw,9,468.84999999999997
2024,37,Total,15,4480.07
2024,38,5min,3,3661.7
2024,38,15min,3,499.08
2024,38,mgw,9,486.20000000000005
2024,38,Total,15,4646.98
2024,39,5min,3,3669.4800000000005
2024,39,15min,3,514.42
2024,39,mgw,9,486.42999999999995
2024,39,Total,15,4670.330000000001
2024,40,5min,3,3497.7700000000004
2024,40,15min,3,593.49
2024,40,mgw,9,485.39
2024,40,Total,15,4576.650000000001
2024,41,5min,3,3509.26
2024,41,15min,3,624.67
2024,41,mgw,9,485.71
2024,41,Total,15,4619.64
2024,42,5min,3,3512.67
2024,42,15min,3,616.0699999999999
2024,42,mgw,9,485.68
2024,42,Total,15,4614.42
2024,43,5min,3,3486.3
2024,43,15min,3,620.41
2024,43,mgw,9,486.16
2024,43,Total,15,4592.87
2024,44,5min,3,3429.51
2024,44,15min,3,611.29
2024,44,mgw,9,484.17
2024,44,Total,15,4524.97
2024,45,5min,3,2671.88
2024,45,15min,3,622.05
2024,45,mgw,9,482.56
2024,45,Total,15,3776.4900000000002
2024,46,5min,3,3513.1799999999994
2024,46,15min,3,595.02
2024,46,mgw,9,485.53
2024,46,Total,15,4593.729999999999
2024,47,5min,3,3575.09
2024,47,15min,3,581.14
2024,47,mgw,9,482.5
2024,47,Total,15,4638.7300000000005
2024,48,5min,3,3557.99
2024,48,15min,3,575.55
2024,48,mgw,9,485.48
2024,48,Total,15,4619.02
2024,49,5min,3,2391.56
2024,49,15min,3,416.21999999999997
2024,49,mgw,9,488.95
2024,49,Total,15,3296.7299999999996
2024,50,5min,2,2388.13
2024,50,15min,2,415.51
2024,50,mgw,9,488.27000000000004
2024,50,Total,13,3291.9100000000003
2024,51,5min,3,3388.14
2024,51,15min,2,408.36
2024,51,mgw,9,489.63
2024,51,Total,14,4286.13
2024,52,5min,3,3328.4399999999996
2024,52,15min,2,405.22
2024,52,mgw,9,488.75
2024,52,Total,14,4222.41
2024,All Weeks,Total,760,222971.62000000002
2025,01,5min,3,3333.23
2025,01,15min,3,560.36
2025,01,mgw,9,490.74
2025,01,Total,15,4384.33
2025,02,5min,3,3499.86
2025,02,15min,3,591.9399999999999
2025,02,mgw,9,489.4800000000001
2025,02,Total,15,4581.280000000001
2025,03,5min,3,3525.3199999999997
2025,03,15min,3,600.3199999999999
2025,03,mgw,9,488.53000000000003
2025,03,Total,15,4614.169999999999
2025,04,5min,3,2755.81
2025,04,15min,3,487.91
2025,04,mgw,9,488.41999999999996
2025,04,Total,15,3732.14
2025,05,5min,2,2366.8
2025,05,15min,2,418.59000000000003
2025,05,mgw,9,489.20000000000005
2025,05,Total,13,3274.59
2025,06,5min,3,3017.44
2025,06,15min,2,416.5
2025,06,mgw,9,486.68000000000006
2025,06,Total,14,3920.62
2025,07,5min,3,3512.9700000000003
2025,07,15min,2,416.32
2025,07,mgw,9,488.81
2025,07,Total,14,4418.1
2025,08,5min,3,3459.42
2025,08,15min,3,446.97
2025,08,mgw,9,489.61999999999995
2025,08,Total,15,4396.01
2025,09,5min,3,3921.67
2025,09,15min,3,635.78
2025,09,mgw,9,487.84000000000003
2025,09,Total,15,5045.29
2025,10,5min,3,3923.6200000000003
2025,10,15min,3,634.45
2025,10,mgw,9,488.79
2025,10,Total,15,5046.860000000001
2025,11,5min,3,1960.4500000000003
2025,11,15min,3,315.83
2025,11,mgw,9,115.28999999999999
2025,11,Total,15,2391.57
2025,All Weeks,Total,161,45804.96
